MES,Vc,OIc,Vp,OIp,GEX_falloff,PGEX,CGEX,GEX_point,Delta_GEXf,P_reject
5616.0,0,24,105,394,0.0,25.79,3.75,-22.04,0.0,0.0
5621.0,0,23,3,341,1.6,6.07,3.93,-2.14,0.062,0.22
5626.0,2,23,16,301,0.82,8.61,4.84,-3.77,0.077,0.24
5631.0,0,33,2,344,-7.55,6.58,4.66,-1.91,0.153,0.23
5636.0,0,177,3,361,13.56,12.19,10.79,-1.4,1.795,0.23
5641.0,0,46,8,183,4.6,12.71,10.48,-2.23,0.135,0.23
5646.0,0,6150,57,7007,-126.18,72.42,61.44,-10.98,5.972,0.23
5651.0,0,141,11,81,158.95,30.79,28.98,-1.8,0.071,0.23
5656.0,0,19,40,180,-44.92,36.5,27.97,-8.53,-0.118,0.23
5661.0,0,31,84,224,-10.62,44.75,27.6,-17.15,-0.147,0.23
5666.0,0,41,91,209,2.11,45.64,27.27,-18.37,-0.13,0.24
5671.0,0,70,43,515,-79.7,36.78,26.35,-10.42,-0.359,0.23
5676.0,0,254,85,475,55.87,44.44,27.11,-17.32,-0.083,0.24
5681.0,0,56,27,229,9.84,31.71,25.66,-6.05,-0.127,0.24
5686.0,0,264,29,179,85.95,32.47,27.39,-5.07,0.204,0.24
5691.0,0,105,173,194,-63.65,60.18,26.42,-33.75,-0.036,0.24
5696.0,0,640,42,1812,-445.4,40.61,27.3,-13.31,-0.68,0.24
5701.0,1,72,32,329,366.46,31.16,24.09,-7.06,-0.156,0.24
5706.0,0,102,28,264,36.8,29.89,23.72,-6.16,-0.065,0.24
5711.0,1,99,6,166,42.5,25.21,24.07,-1.13,0.008,0.24
5716.0,1,80,12,204,-32.15,26.4,23.82,-2.57,-0.05,0.24
5721.0,1,124,14,215,14.85,26.85,24.08,-2.77,0.006,0.24
5726.0,0,244,10,230,58.96,26.66,24.89,-1.76,0.17,0.24
5731.0,0,43,40,180,-91.97,31.93,23.53,-8.4,-0.09,0.24
5736.0,1,159,13,325,-21.69,27.31,24.4,-2.91,-0.037,0.24
5741.0,3,119,6,149,85.81,25.28,25.02,-0.25,0.052,0.24
5746.0,17,290,14,1963,-1104.27,32.49,27.8,-4.69,-0.996,0.32
5751.0,7,185,2,139,1155.41,21.96,24.25,2.3,0.155,0.26
5756.0,7,159,0,222,-75.04,22.16,24.3,2.15,0.066,0.24
5761.0,10,158,35,166,38.03,28.92,25.61,-3.3,0.093,0.24
5766.0,11,246,0,309,-37.93,23.17,26.75,3.58,0.106,0.24
5771.0,3,1174,0,780,311.46,27.66,31.29,3.63,0.755,0.24
5776.0,11,222,6,200,-253.37,26.33,29.14,2.81,0.091,0.25
5781.0,23,335,0,110,129.7,25.39,34.53,9.14,0.219,0.24
5786.0,22,1200,4,256,435.0,29.05,41.08,12.03,0.736,0.25
5791.0,54,241,3,115,-505.99,28.48,47.15,18.68,0.099,0.33
5796.0,37,885,0,689,33.76,31.25,45.42,14.18,0.205,0.24
5801.0,41,354,0,137,3.29,28.98,44.27,15.3,0.121,0.24
5806.0,59,407,0,270,-46.01,29.87,51.0,21.14,0.085,0.24
5811.0,22,387,0,174,27.34,29.7,38.46,8.77,0.097,0.24
5816.0,97,475,10,169,28.25,31.94,65.06,33.12,0.116,0.27
5821.0,28,690,0,236,41.21,30.78,42.96,12.18,0.149,0.24
5826.0,27,485,10,210,-73.17,32.82,41.74,8.92,0.081,0.25
5831.0,18,325,0,48,-8.47,30.32,37.98,7.66,0.066,0.24
5836.0,46,580,0,73,50.32,30.76,49.3,18.55,0.106,0.24
5841.0,30,768,0,35,36.89,30.97,45.21,14.25,0.131,0.24
5846.0,75,1309,0,596,-22.82,33.98,63.97,29.99,0.116,0.24
5851.0,11,491,0,43,-64.13,31.53,37.7,6.18,0.059,0.24
5856.0,23,909,0,163,36.78,32.35,44.35,12.0,0.086,0.24
5861.0,43,339,0,18,-72.72,31.76,48.22,16.47,0.032,0.23
5866.0,31,871,0,34,55.45,32.05,47.2,15.16,0.071,0.23
5871.0,0,2055,0,29,108.57,32.45,43.42,10.97,0.145,0.23
5876.0,24,1027,0,56,-122.03,32.76,46.25,13.5,0.059,0.23
5881.0,0,657,0,17,-37.12,32.67,36.09,3.43,0.033,0.23
5886.0,0,3119,0,416,126.16,34.92,49.82,14.91,0.117,0.24
5891.0,0,1234,0,20,-108.34,33.16,39.71,6.55,0.044,0.24
5896.0,25,1618,0,62,4.98,33.5,50.52,17.03,0.047,0.23
5901.0,1,1350,0,7,-19.95,33.34,40.92,7.59,0.033,0.23
